date,time,location
2020-07-01,08:00 AM,1
2020-07-01,08:30 AM,1
2020-07-01,09:00 AM,1
2020-07-01,09:30 AM,1
2020-07-01,10:00 AM,1
2020-07-01,10:30 AM,1
2020-07-01,11:00 AM,1
2020-07-01,11:30 AM,1
2020-07-01,12:00 PM,1
2020-07-01,12:30 PM,1
2020-07-01,01:00 PM,1
2020-07-01,01:30 PM,1
2020-07-01,02:00 PM,1
2020-07-01,02:30 PM,1
2020-07-01,03:00 PM,1
2020-07-01,03:30 PM,1
2020-07-01,04:00 PM,1
2020-07-01,04:30 PM,1
2020-07-01,05:00 PM,1
2020-07-01,05:30 PM,1
2020-07-01,06:00 PM,1
2020-07-02,08:00 AM,1
2020-07-02,08:30 AM,1
2020-07-02,09:00 AM,1
2020-07-02,09:30 AM,1
2020-07-02,10:00 AM,1
2020-07-02,10:30 AM,1
2020-07-02,11:00 AM,1
2020-07-02,11:30 AM,1
2020-07-02,12:00 PM,1
2020-07-02,12:30 PM,1
2020-07-02,01:00 PM,1
2020-07-02,01:30 PM,1
2020-07-02,02:00 PM,1
2020-07-02,02:30 PM,1
2020-07-02,03:00 PM,1
2020-07-02,03:30 PM,1
2020-07-02,04:00 PM,1
2020-07-02,04:30 PM,1
2020-07-02,05:00 PM,1
2020-07-02,05:30 PM,1
2020-07-02,06:00 PM,1
2020-07-03,08:00 AM,1
2020-07-03,08:30 AM,1
2020-07-03,09:00 AM,1
2020-07-03,09:30 AM,1
2020-07-03,10:00 AM,1
2020-07-03,10:30 AM,1
2020-07-03,11:00 AM,1
2020-07-03,11:30 AM,1
2020-07-03,12:00 PM,1
2020-07-03,12:30 PM,1
2020-07-03,01:00 PM,1
2020-07-03,01:30 PM,1
2020-07-03,02:00 PM,1
2020-07-03,02:30 PM,1
2020-07-03,03:00 PM,1
2020-07-03,03:30 PM,1
2020-07-03,04:00 PM,1
2020-07-03,04:30 PM,1
2020-07-03,05:00 PM,1
2020-07-03,05:30 PM,1
2020-07-03,06:00 PM,1
2020-07-04,08:00 AM,1
2020-07-04,08:30 AM,1
2020-07-04,09:00 AM,1
2020-07-04,09:30 AM,1
2020-07-04,10:00 AM,1
2020-07-04,10:30 AM,1
2020-07-04,11:00 AM,1
2020-07-04,11:30 AM,1
2020-07-04,12:00 PM,1
2020-07-04,12:30 PM,1
2020-07-04,01:00 PM,1
2020-07-04,01:30 PM,1
2020-07-04,02:00 PM,1
2020-07-04,02:30 PM,1
2020-07-04,03:00 PM,1
2020-07-04,03:30 PM,1
2020-07-04,04:00 PM,1
2020-07-04,04:30 PM,1
2020-07-04,05:00 PM,1
2020-07-04,05:30 PM,1
2020-07-04,06:00 PM,1
2020-07-01,08:00 AM,2
2020-07-01,08:30 AM,2
2020-07-01,09:00 AM,2
2020-07-01,09:30 AM,2
2020-07-01,10:00 AM,2
2020-07-01,10:30 AM,2
2020-07-01,11:00 AM,2
2020-07-01,11:30 AM,2
2020-07-01,12:00 PM,2
2020-07-01,12:30 PM,2
2020-07-01,01:00 PM,2
2020-07-01,01:30 PM,2
2020-07-01,02:00 PM,2
2020-07-01,02:30 PM,2
2020-07-01,03:00 PM,2
2020-07-01,03:30 PM,2
2020-07-01,04:00 PM,2
2020-07-01,04:30 PM,2
2020-07-01,05:00 PM,2
2020-07-01,05:30 PM,2
2020-07-01,06:00 PM,2
2020-07-02,08:00 AM,2
2020-07-02,08:30 AM,2
2020-07-02,09:00 AM,2
2020-07-02,09:30 AM,2
2020-07-02,10:00 AM,2
2020-07-02,10:30 AM,2
2020-07-02,11:00 AM,2
2020-07-02,11:30 AM,2
2020-07-02,12:00 PM,2
2020-07-02,12:30 PM,2
2020-07-02,01:00 PM,2
2020-07-02,01:30 PM,2
2020-07-02,02:00 PM,2
2020-07-02,02:30 PM,2
2020-07-02,03:00 PM,2
2020-07-02,03:30 PM,2
2020-07-02,04:00 PM,2
2020-07-02,04:30 PM,2
2020-07-02,05:00 PM,2
2020-07-02,05:30 PM,2
2020-07-02,06:00 PM,2
2020-07-03,08:00 AM,2
2020-07-03,08:30 AM,2
2020-07-03,09:00 AM,2
2020-07-03,09:30 AM,2
2020-07-03,10:00 AM,2
2020-07-03,10:30 AM,2
2020-07-03,11:00 AM,2
2020-07-03,11:30 AM,2
2020-07-03,12:00 PM,2
2020-07-03,12:30 PM,2
2020-07-03,01:00 PM,2
2020-07-03,01:30 PM,2
2020-07-03,02:00 PM,2
2020-07-03,02:30 PM,2
2020-07-03,03:00 PM,2
2020-07-03,03:30 PM,2
2020-07-03,04:00 PM,2
2020-07-03,04:30 PM,2
2020-07-03,05:00 PM,2
2020-07-03,05:30 PM,2
2020-07-03,06:00 PM,2
2020-07-04,08:00 AM,2
2020-07-04,08:30 AM,2
2020-07-04,09:00 AM,2
2020-07-04,09:30 AM,2
2020-07-04,10:00 AM,2
2020-07-04,10:30 AM,2
2020-07-04,11:00 AM,2
2020-07-04,11:30 AM,2
2020-07-04,12:00 PM,2
2020-07-04,12:30 PM,2
2020-07-04,01:00 PM,2
2020-07-04,01:30 PM,2
2020-07-04,02:00 PM,2
2020-07-04,02:30 PM,2
2020-07-04,03:00 PM,2
2020-07-04,03:30 PM,2
2020-07-04,04:00 PM,2
2020-07-04,04:30 PM,2
2020-07-04,05:00 PM,2
2020-07-04,05:30 PM,2
2020-07-04,06:00 PM,2
2020-07-01,08:00 AM,3
2020-07-01,08:30 AM,3
2020-07-01,09:00 AM,3
2020-07-01,09:30 AM,3
2020-07-01,10:00 AM,3
2020-07-01,10:30 AM,3
2020-07-01,11:00 AM,3
2020-07-01,11:30 AM,3
2020-07-01,12:00 PM,3
2020-07-01,12:30 PM,3
2020-07-01,01:00 PM,3
2020-07-01,01:30 PM,3
2020-07-01,02:00 PM,3
2020-07-01,02:30 PM,3
2020-07-01,03:00 PM,3
2020-07-01,03:30 PM,3
2020-07-01,04:00 PM,3
2020-07-01,04:30 PM,3
2020-07-01,05:00 PM,3
2020-07-01,05:30 PM,3
2020-07-01,06:00 PM,3
2020-07-02,08:00 AM,3
2020-07-02,08:30 AM,3
2020-07-02,09:00 AM,3
2020-07-02,09:30 AM,3
2020-07-02,10:00 AM,3
2020-07-02,10:30 AM,3
2020-07-02,11:00 AM,3
2020-07-02,11:30 AM,3
2020-07-02,12:00 PM,3
2020-07-02,12:30 PM,3
2020-07-02,01:00 PM,3
2020-07-02,01:30 PM,3
2020-07-02,02:00 PM,3
2020-07-02,02:30 PM,3
2020-07-02,03:00 PM,3
2020-07-02,03:30 PM,3
2020-07-02,04:00 PM,3
2020-07-02,04:30 PM,3
2020-07-02,05:00 PM,3
2020-07-02,05:30 PM,3
2020-07-02,06:00 PM,3
2020-07-03,08:00 AM,3
2020-07-03,08:30 AM,3
2020-07-03,09:00 AM,3
2020-07-03,09:30 AM,3
2020-07-03,10:00 AM,3
2020-07-03,10:30 AM,3
2020-07-03,11:00 AM,3
2020-07-03,11:30 AM,3
2020-07-03,12:00 PM,3
2020-07-03,12:30 PM,3
2020-07-03,01:00 PM,3
2020-07-03,01:30 PM,3
2020-07-03,02:00 PM,3
2020-07-03,02:30 PM,3
2020-07-03,03:00 PM,3
2020-07-03,03:30 PM,3
2020-07-03,04:00 PM,3
2020-07-03,04:30 PM,3
2020-07-03,05:00 PM,3
2020-07-03,05:30 PM,3
2020-07-03,06:00 PM,3
2020-07-04,08:00 AM,3
2020-07-04,08:30 AM,3
2020-07-04,09:00 AM,3
2020-07-04,09:30 AM,3
2020-07-04,10:00 AM,3
2020-07-04,10:30 AM,3
2020-07-04,11:00 AM,3
2020-07-04,11:30 AM,3
2020-07-04,12:00 PM,3
2020-07-04,12:30 PM,3
2020-07-04,01:00 PM,3
2020-07-04,01:30 PM,3
2020-07-04,02:00 PM,3
2020-07-04,02:30 PM,3
2020-07-04,03:00 PM,3
2020-07-04,03:30 PM,3
2020-07-04,04:00 PM,3
2020-07-04,04:30 PM,3
2020-07-04,05:00 PM,3
2020-07-04,05:30 PM,3
2020-07-04,06:00 PM,3
